iso3,country_name,income_group
MDV,Maldives,Upper middle income
MEX,Mexico,Upper middle income
MHL,Marshall Islands,Upper middle income
MKD,North Macedonia,Upper middle income
MLI,Mali,Low income
MLT,Malta,High income
MMR,Myanmar,Lower middle income
MNE,Montenegro,Upper middle income
MNG,Mongolia,Upper middle income
MNP,Northern Mariana Islands,High income
MOZ,Mozambique,Low income
MRT,Mauritania,Lower middle income
MUS,Mauritius,Upper middle income
MWI,Malawi,Low income
MYS,Malaysia,Upper middle income
NAM,Namibia,Lower middle income
NCL,New Caledonia,High income
NER,Niger,Low income
NGA,Nigeria,Lower middle income
NIC,Nicaragua,Lower middle income
NLD,Netherlands,High income
NOR,Norway,High income
NPL,Nepal,Lower middle income
NRU,Nauru,High income
NZL,New Zealand,High income
OMN,Oman,High income
PAK,Pakistan,Lower middle income
PAN,Panama,High income
PER,Peru,Upper middle income
PHL,Philippines,Lower middle income
PLW,Palau,High income
PNG,Papua New Guinea,Lower middle income
POL,Poland,High income
PRI,Puerto Rico (US),High income
PRK,"Korea, Dem. People's Rep.",Low income
PRT,Portugal,High income
PRY,Paraguay,Upper middle income
PSE,West Bank and Gaza,Lower middle income
PYF,French Polynesia,High income
QAT,Qatar,High income
ROU,Romania,High income
RUS,Russian Federation,High income
RWA,Rwanda,Low income
SAU,Saudi Arabia,High income
SDN,Sudan,Low income
SEN,Senegal,Lower middle income
SGP,Singapore,High income
SLB,Solomon Islands,Lower middle income
SLE,Sierra Leone,Low income
SLV,El Salvador,Upper middle income
SMR,San Marino,High income
SOM,"Somalia, Fed. Rep.",Low income
SRB,Serbia,Upper middle income
SSD,South Sudan,Low income
STP,Sao Tome and Principe,Lower middle income
SUR,Suriname,Upper middle income
SVK,Slovak Republic,High income
SVN,Slovenia,High income
SWE,Sweden,High income
SWZ,Eswatini,Lower middle income
SXM,Sint Maarten (Dutch part),High income
SYC,Seychelles,High income
SYR,Syrian Arab Republic,Low income
TCA,Turks and Caicos Islands,High income
TCD,Chad,Low income
TGO,Togo,Low income
THA,Thailand,Upper middle income
TJK,Tajikistan,Lower middle income
TKM,Turkmenistan,Upper middle income
TLS,Timor-Leste,Lower middle income
TON,Tonga,Upper middle income
TTO,Trinidad and Tobago,High income
TUN,Tunisia,Lower middle income
TUR,Turkiye,Upper middle income
TUV,Tuvalu,Upper middle income
TZA,Tanzania,Lower middle income
UGA,Uganda,Low income
UKR,Ukraine,Upper middle income
URY,Uruguay,High income
USA,United States,High income
UZB,Uzbekistan,Lower middle income
VCT,St. Vincent and the Grenadines,Upper middle income
VEN,"Venezuela, RB",Not classified
VGB,British Virgin Islands,High income
VIR,Virgin Islands (U.S.),High income
VNM,Viet Nam,Lower middle income
VUT,Vanuatu,Lower middle income
WSM,Samoa,Upper middle income
XKX,Kosovo,Upper middle income
YEM,"Yemen, Rep.",Low income
ZAF,South Africa,Upper middle income
ZMB,Zambia,Lower middle income
ZWE,Zimbabwe,Lower middle income
